cID,compID,Year,Brand,Model,Lap Time I,RC I,Tire II,Lap Time II,RC II,Tire III,Lap Time III,RC III,Country,MSRP (2022 USD),WHP,WTQ,Weight,P/W (hp/t),Layout,Trans,Rating,DR,_HD,Author,Source,Comments / Other Times,,,,,,,,,,
117,0,2018,Audi,RS5 (8W6),,,,,,,,,Germany,"$77,900.00",387,522,1655,233.836858,F4,AT,,2,L,Buja Gili,link,,,,,,,,,,,
118,0,2021,Audi,RS5 (8W6),1:03.564,3,,,,,,,Germany,"$77,900.00",518,525,1800,287.7777778,F4,AT,3,2,L,TGN,Patreon,power+torque too high + tires probably overperforming,,,,,,,,,,
119,8,2002,Audi,RS6 (C5),1:09.69,0,,,,,,,Germany,"$131,704.72",394,580,1880,209.5744681,F4,MT,,4,L,Audi,irl,,,,,,,,,,,
120,8,2002,Audi,RS6 (C5),1:06.995,2,SM,1:06.065,3,,,,Germany,"$131,704.72",519,640,1820,285.1648352,F4,MT,3.5,4,L,101Creative,PAtreon,power too high torque too low tires too sticky,,,,,,,,,,
121,0,2009,Audi,A6 3.0T Quattro (C6),1:11.153,0,,,,,,,Germany,"$68,254.81",234,344,1710,136.8421053,F4,AT,,4,L,Audi,irl,,,,,,,,,,,
122,0,2007,Audi,RS6 V10 Avant (C6),,,,,,,,,Germany,"$216,740.46",496,565,2020,245.5445545,F4,MT,,5,L,101Creative,Patreon,,,,,,,,,,,
123,0,2009,Audi,RS6 V10 Avant (C6),1:05.371,3,,,,,,,Germany,"$216,740.46",523,532,1985,263.4760705,F4,MT,3,5,L,TGN,Patreon,tires have too much grip especially for a ~2 ton car from 2009 ,,,,,,,,,,
124,0,2017,Audi,A6 40 TFSI (C7),,,,,,,,,Germany,"$62,292.94",221,328,1725,128.115942,F4,AT,,4,L,Aijiyizhihua,,,,,,,,,,,,
125,0,2015,Audi,RS6 Avant Performance (C7),,,,,,,,,Germany,"$147,326.21",573,600,1875,305.6,F4,AT,,5,L,Bruce Kelt (u. Mr Suzuki),link,,,,,,,,,,,
126,0,2020,Audi,RS6 Avant (C8),1:05.209,0,,,,,,,Germany,"$119,995.00",544,768,2075,262.1686747,F4,AT,4.5,5,L,Jandrovi,Youtube,"great and believable at the limit, only ding is sound is a little off",,,,,,,,,,
1497,0,2021,Audi,RS6 Avant (C8),,,,,,,,,Germany,"$119,995.00",514,695,2250,228.4444444,F4,AT,,5,L,Binary Motors,Patreon,,,,,,,,,,,
127,0,2015,Audi,S7 Sportback (4G8),,,,,,,,,Germany,"$103,008.70",449,564,1955,229.6675192,F4,AT,,5,L,?,link,,,,,,,,,,,
128,0,2017,Audi,RS7 Sportback (4G8),,,,,,,,,Germany,"$157,618.75",580,607,1930,300.5181347,F4,AT,,5,L,A. Pezo,link,power way too high torque about right,,,,,,,,,,
129,0,2017,Audi,RS7 Sportback (4G8),,,,,,,,,Germany,"$157,618.75",560,784,1930,290.1554404,F4,AT,,5,L,TGN,Patreon,power too high and torque way too high,,,,,,,,,,
130,0,2020,Audi,e-tron GT RS,,,,,,,,,Germany,"$145,395.00",639,830,2305,277.2234273,F4,AT,,5,L,MNBA,Patreon,,,,,,,,,,,
131,0,2008,Audi,A8 Long 4.2 FSI,,,,,,,,,Germany,"$106,516.15",278,336,1800,154.4444444,F4,AT,,4,L,Aijiyizhihua,link,,,,,,,,,,,
132,0,2005,Audi,S8,1:08.30,0,,,,,,,Germany,"$134,871.21",382,515,1940,196.9072165,F4,AT,,4,L,Audi,irl,,,,,,,,,,,
133,0,2020,Audi,A8 55 TFSI (D5),,,,,,,,,Germany,"$98,637.20",338,514,2100,160.952381,F4,AT,,4,L,DJP,link,,,,,,,,,,,
134,0,2016,Audi,S8 Plus (D5),,,,,,,,,Germany,"$141,186.28",526,648,2065,254.7215496,F4,AT,,4,L,Fazani,,,,,,,,,,,,
135,9,1994,Audi,Sport Quattro,1:09.20,0,,,,,,,Germany,"$303,775.41 ",251,287,1300,193.0769231,F4,MT,,2,L,Audi,irl,,,,,,,,,,,
136,9,1994,Audi,Sport Quattro,1:11.244,0,ST,1:09.884,0,SM,1:08.404,0,Germany,"$303,775.41 ",271,386,1298,208.7827427,F4,MT,3.5,2,L,Kunos,AC,,,,,,,,,,,
